gene	exprA	exprB
all1692	1637	8570.5
all1702	1999	5058.5
all1730	1079	4422.25
all1748	174.75	283.25
all1757	282.75	958.75
all1759	1117	2510.5
all1842	2762	21692.2
all1864	627.25	2508
all2011	802	4293.5
all2012	941.5	5677.5
all2026	127.5	91
all2027	262.75	160.5
all2033	401.5	429.25
all2072	1774	3402.25
all2148	144.25	200.5
all2157	308.5	423
all2158	215.5	622.5
all2193	516	1203.5
all2235	213	178.5
all2236	603.5	770.75
all2243	190.5	192.5
all2283	539.75	431.75
all2319	3918.75	9035.5
all2327	6483	11475.2
all2342	2601.75	5272
all2343	2702.5	2202.75
all2390	2430.25	6429.75
all2444	174.5	161
all2452	3900.75	5039
all2498	1403.5	4091
all2512	120.75	283.75
all2521	935.25	2341
all2531	1365	1934.75
all2578	136.75	137
all2585	1518.5	1724.5
all2586	1452.5	2834.5
all2609	280	285.25
all2610	299.25	568.75
all2618	668	829
all2674	384	292.25
all2797	408.5	388.75
all2894	621.25	1674.25
all2899	257.75	714.5
all2910	206	1133.5
all2929	642.5	1456
all2934	466.5	852.25
all2941	486	862.5
all2951	326.25	1453.5
all2964	1034.25	3044
all2970	829.25	1173
all3035	3581.75	2408.25
all3124	2553.5	1797.5
all3184	1717	2981.25
all3211	2867.75	4276.75
all3333	569	693.5
all3408	2230	2901
all3410	1172.5	2401.75
all3521	6975	5601
all3549	193.5	809.5
all3556	4296.25	14275
all3558	497.5	2519
all3569	3453	9544.5
all3642	7563	11415.5
all3653	8629	12485.5
all3679	2931.5	7419.25
all3680	3483.25	9420
all3740	559.5	778.25
all3746	548.5	1751.25
all3840	9877	20767.2
all3841	6949	13307
all3842	8678.5	12065
all3853	176	243.25
all3866	1080.75	2823.25
all3913	2355.75	7043.5
all3914	2653.75	4156
all4023	797	2134.5
all4024	727	2702
all4080	351	765.75
all4087	421	979.75
all4120	740.75	717.5
all4121	5205.25	17077.5
all4145	1282.5	1996.5
all4148	10984	20206.2
all4191	4803.5	7512.75
all4197	7382	13624.8
all4327	1939.75	4167.5
all4396	2439.25	8309
all4464	1988.75	6266.25
all4495	1059	3482
all4496	1327	2611.75
all4511	877.5	898.5
all4558	325	705.25
all4699	1706	4221.25
all4774	947	1938
all4776	3215.25	8007.75
all4778	970.25	3624.5
all4789	529	1632
all4873	1487.5	2598
all4883	5441.5	12969.5
all4900	665.25	2167
all4923	150	139.75
all4924	247.5	652.5
all4936	1495.5	3016
all5167	870.75	960
all5346	542.25	1047.5
all5347	94	299
all7001	882.25	3170.5
all7002	962.75	1266
all7004	1536	2692
all7005	7082.75	5522.25
all7008	2732	5799
all7010	579.5	2520
all7011	850	5626.75
all7012	593.25	4414.75
all7013	8251	12451.5
all7016	508.75	1400.75
all7021	772	2509.5
all7022	739.5	2156.5
all7024	1747	7401.25
all7026	235.5	552.5
all7027	924.25	2676.75
all7030	503.75	902.5
all7031	91.5	153.25
all7032	598.5	517.75
all7033	249	285.5
all7053	1381	3797.5
all7054	929.5	2000.75
all7055	804.5	1478.5
all7065	936.75	2278.5
all7066	254	193.5
all7071	653.5	1309.25
all7072	1069.5	6743.5
all7080	501	1220.5
all7081	823.5	1906.25
all7084	222.25	1502.25
all7085	1807.75	7710.75
all7091	1307	874.5
all7098	697.5	3193.5
all7099	2749.75	4948.75
all7105	1268	2288
all7106	8841	7808.5
all7108	440.5	1083
all7109	603.25	2822
all7110	598.25	1292.25
