gene	exprA	exprB
asl7281	551	666
asl7282	745	1104.5
asl7283	444.25	593.25
asl7289	58.5	60
asl7296	2572	2896
asl7306	390	706.5
asl7322	137	379
asl7327	432	274.5
asl7328	414.5	965
asl7356	1323	2369
asl7359	1435	777.5
asl7365	3840	6121.5
asl7509	987	785.5
asl7585	171.75	132.25
asl7591	350	281.5
asl7593	34.5	58.5
asl7596	150	166
asl7599	140	540.5
asl7641	303.5	213
asl7651	359	504.5
asl7669	61	59.5
asl7677	516	454.5
asl7678	214.5	251
asl7683	119	173.5
asr0023	13165	23032.5
asr0674	416	518
asr0680	256.5	579.5
asr0682	293.5	997.5
asr0689	201	490.5
asr0690	208.5	1723.5
asr0695	466.5	1073.5
asr0697	390.5	1517.5
asr0701	1945	4659.5
asr0773	3098	4171.5
asr1309	3337.5	9753.5
asr1366	3701	5711
asr1408	275	2271.5
asr1409	207	867.5
asr2513	457.25	1415
asr3042	3726	328.5
asr3043	8460.5	1448
asr3457	2551	12224
asr3796	3052	8086.5
asr3845	12527	14832.5
asr3846	7606	15074.5
asr5262	5156	5304.5
asr5298	14760	18584.5
asr7006	152	181.5
asr7023	719.5	579
asr7037	1267	808.5
asr7038	418	875.5
asr7039	122	116
asr7040	83	94.5
asr7041	90	82.5
asr7044	335	604.5
asr7045	160	211.5
asr7047	120	101.5
asr7050	752.5	1948.5
asr7060	400	1980.5
asr7061	76.5	90.5
asr7067	427	539.5
asr7070	261	1146.5
asr7087	58.5	149.5
asr7090	2021	8471.5
asr7104	1097	1415
asr7140	44	47
asr7142	70	110.5
asr7143	79.5	81.5
asr7145	638	244.5
asr7146	277.25	851.5
asr7152	61	63.5
asr7154	680.5	798
asr7180	733	2734.5
asr7230	2031	7947.5
asr7247	409.5	909.5
asr7252	178.75	238.5
asr7256	294	264.5
asr7257	309.5	795.5
asr7260	81.5	117.5
asr7293	454	501
asr7330	1348	2007.5
asr7338	2817.5	17244.5
asr7339	2509	5980
asr7340	236	378.5
asr7343	307	987
asr7363	764.5	994.5
asr7371	84	143.5
asr7380	451	2219
asr7385	988	3550.5
asr7516	191.5	257.5
asr7519	140	138.5
asr7520	184	195
asr7542	87	128
asr7548	238	162.5
asr7554	23.5	105.5
asr7595	272	330.5
asr7603	1323.5	3276
asr7638	303	391.5
asr7639	111	83
asr7642	529	431.5
asr7657	153	249.5
asr8504	142	907
